baseline,machine_config,library,field,ext_degree,basis,op,workload,vectorization,arch,simd,width,unit,ns_per_op_or_lane,lower,upper,family,label,group,bench_id
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,,,add,latency_chain,packed,x86_64,avx2,8,ns/lane,0.185,0.185,0.185,base,mersenne31,field_arith_base_latency_chain_mersenne31_w8,packed_add_chain_2048x8_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,,,add,latency_chain,scalar,x86_64,avx2,8,ns/op,0.697,0.697,0.698,base,mersenne31,field_arith_base_latency_chain_mersenne31_w8,scalar_add_chain_2048_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,,,add,throughput_stream,packed,x86_64,avx2,8,ns/lane,0.044,0.044,0.044,base,mersenne31,field_arith_base_throughput_stream_mersenne31_w8,packed_add_stream_8x8x256_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,,,add,throughput_stream,scalar,x86_64,avx2,8,ns/op,0.263,0.263,0.263,base,mersenne31,field_arith_base_throughput_stream_mersenne31_w8,scalar_add_stream_8x256_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,,,add_neg,latency_chain,packed,x86_64,avx2,8,ns/lane,0.316,0.316,0.316,base,mersenne31,field_arith_base_latency_chain_mersenne31_w8,packed_add_neg_chain_2048x8_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,,,add_neg,latency_chain,scalar,x86_64,avx2,8,ns/op,1.220,1.220,1.220,base,mersenne31,field_arith_base_latency_chain_mersenne31_w8,scalar_add_neg_chain_2048_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,,,double,latency_chain,packed,x86_64,avx2,8,ns/lane,0.316,0.316,0.316,base,mersenne31,field_arith_base_latency_chain_mersenne31_w8,packed_double_chain_2048x8_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,,,double,latency_chain,scalar,x86_64,avx2,8,ns/op,0.523,0.523,0.523,base,mersenne31,field_arith_base_latency_chain_mersenne31_w8,scalar_double_chain_2048_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,,,double_add,latency_chain,packed,x86_64,avx2,8,ns/lane,0.316,0.316,0.316,base,mersenne31,field_arith_base_latency_chain_mersenne31_w8,packed_double_add_chain_2048x8_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,,,double_add,latency_chain,scalar,x86_64,avx2,8,ns/op,1.221,1.221,1.221,base,mersenne31,field_arith_base_latency_chain_mersenne31_w8,scalar_double_add_chain_2048_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,,,inverse,latency_chain,packed,x86_64,avx2,8,ns/lane,55.359,55.357,55.361,base,mersenne31,field_arith_base_latency_chain_mersenne31_w8,packed_inverse_chain_128x8_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,,,inverse,latency_chain,scalar,x86_64,avx2,8,ns/op,57.287,57.285,57.289,base,mersenne31,field_arith_base_latency_chain_mersenne31_w8,scalar_inverse_chain_128_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,,,inverse,throughput_stream,packed,x86_64,avx2,8,ns/lane,54.781,54.779,54.784,base,mersenne31,field_arith_base_throughput_stream_mersenne31_w8,packed_inverse_stream_8x8x32_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,,,inverse,throughput_stream,scalar,x86_64,avx2,8,ns/op,55.680,55.676,55.683,base,mersenne31,field_arith_base_throughput_stream_mersenne31_w8,scalar_inverse_stream_8x32_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,,,mul,latency_chain,packed,x86_64,avx2,8,ns/lane,0.589,0.589,0.589,base,mersenne31,field_arith_base_latency_chain_mersenne31_w8,packed_mul_chain_2048x8_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,,,mul,latency_chain,scalar,x86_64,avx2,8,ns/op,1.744,1.744,1.744,base,mersenne31,field_arith_base_latency_chain_mersenne31_w8,scalar_mul_chain_2048_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,,,mul,throughput_stream,packed,x86_64,avx2,8,ns/lane,0.086,0.086,0.086,base,mersenne31,field_arith_base_throughput_stream_mersenne31_w8,packed_mul_stream_8x8x256_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,,,mul,throughput_stream,scalar,x86_64,avx2,8,ns/op,0.689,0.689,0.689,base,mersenne31,field_arith_base_throughput_stream_mersenne31_w8,scalar_mul_stream_8x256_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,,,mul_add,latency_chain,packed,x86_64,avx2,8,ns/lane,0.719,0.719,0.719,base,mersenne31,field_arith_base_latency_chain_mersenne31_w8,packed_mul_add_chain_2048x8_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,,,mul_add,latency_chain,scalar,x86_64,avx2,8,ns/op,2.442,2.441,2.442,base,mersenne31,field_arith_base_latency_chain_mersenne31_w8,scalar_mul_add_chain_2048_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,,,mul_self,latency_chain,packed,x86_64,avx2,8,ns/lane,0.745,0.745,0.745,base,mersenne31,field_arith_base_latency_chain_mersenne31_w8,packed_mul_self_chain_2048x8_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,,,mul_self,latency_chain,scalar,x86_64,avx2,8,ns/op,1.745,1.745,1.745,base,mersenne31,field_arith_base_latency_chain_mersenne31_w8,scalar_mul_self_chain_2048_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,,,mul_self,throughput_stream,packed,x86_64,avx2,8,ns/lane,0.087,0.087,0.087,base,mersenne31,field_arith_base_throughput_stream_mersenne31_w8,packed_mul_self_stream_8x8x256_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,,,neg,latency_chain,packed,x86_64,avx2,8,ns/lane,0.131,0.131,0.131,base,mersenne31,field_arith_base_latency_chain_mersenne31_w8,packed_neg_chain_2048x8_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,,,neg,latency_chain,scalar,x86_64,avx2,8,ns/op,0.523,0.523,0.523,base,mersenne31,field_arith_base_latency_chain_mersenne31_w8,scalar_neg_chain_2048_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,,,square,latency_chain,packed,x86_64,avx2,8,ns/lane,0.745,0.745,0.745,base,mersenne31,field_arith_base_latency_chain_mersenne31_w8,packed_square_chain_2048x8_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,,,square,latency_chain,scalar,x86_64,avx2,8,ns/op,1.745,1.745,1.745,base,mersenne31,field_arith_base_latency_chain_mersenne31_w8,scalar_square_chain_2048_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,,,square,throughput_stream,packed,x86_64,avx2,8,ns/lane,0.087,0.087,0.087,base,mersenne31,field_arith_base_throughput_stream_mersenne31_w8,packed_square_stream_8x8x256_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,,,square,throughput_stream,scalar,x86_64,avx2,8,ns/op,0.719,0.719,0.719,base,mersenne31,field_arith_base_throughput_stream_mersenne31_w8,scalar_square_stream_8x256_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,,,sub,latency_chain,packed,x86_64,avx2,8,ns/lane,0.185,0.185,0.185,base,mersenne31,field_arith_base_latency_chain_mersenne31_w8,packed_sub_chain_2048x8_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,,,sub,latency_chain,scalar,x86_64,avx2,8,ns/op,0.697,0.697,0.697,base,mersenne31,field_arith_base_latency_chain_mersenne31_w8,scalar_sub_chain_2048_ns_per_op
