estimator_id,source_profile,scalar_degree,packing_degree,policy,modulus_profile,d,rank,coeff_linf_bound,max_width,scalar_n,search_cap,hit_cap,profile,target_bits,max_adps16_quantum_rop_log2,next_adps16_quantum_rop_log2,max_beta,max_zeta,next_beta,next_zeta,cutoff_kind
akita-infinity-width-v4,phi729-fixed-w25-delta16,486,1,Quantum128BitADPS16,q64-labinius,486,1,13107000,3,486,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,98.315000000000,484,,371,0,Exact
akita-infinity-width-v4,phi729-fixed-w25-delta16,486,1,Quantum128BitADPS16,q64-labinius,486,2,13107000,842036,972,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,127.995000000000,484,,483,0,Exact
akita-infinity-width-v4,phi729-fixed-w25-delta16,486,1,Quantum128BitADPS16,q64-labinius,486,3,13107000,93729198805,1458,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,127.995000000000,484,,483,0,Exact
akita-infinity-width-v4,phi729-fixed-w25-delta16,486,2,Quantum128BitADPS16,q64-labinius,972,1,13107000,421018,972,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,127.995000000000,484,,483,0,Exact
akita-infinity-width-v4,phi243-bounded-w46-delta16,162,1,Quantum128BitADPS16,q64-labinius,162,1,24116880,2,162,6400000000000,false,local-minimum+proven-pruned-certification,128.0,1957.752263225686,27.560000000000,324,0,104,0,Exact
akita-infinity-width-v4,phi243-bounded-w46-delta16,162,1,Quantum128BitADPS16,q64-labinius,162,2,24116880,5,324,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,76.850000000000,484,,290,0,Exact
akita-infinity-width-v4,phi243-bounded-w46-delta16,162,1,Quantum128BitADPS16,q64-labinius,162,3,24116880,9,486,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,104.675000000000,484,,395,0,Exact
akita-infinity-width-v4,phi243-bounded-w46-delta16,162,2,Quantum128BitADPS16,q64-labinius,324,1,24116880,2,324,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,76.850000000000,484,,290,0,Exact
akita-infinity-width-v4,phi243-bounded-w46-delta16,162,2,Quantum128BitADPS16,q64-labinius,324,2,24116880,8,648,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,127.730000000000,484,,482,0,Exact
akita-infinity-width-v4,phi243-bounded-w46-delta16,162,2,Quantum128BitADPS16,q64-labinius,324,3,24116880,338378,972,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,127.995000000000,484,,483,0,Exact
akita-infinity-width-v4,phi243-bounded-w46-delta16,162,4,Quantum128BitADPS16,q64-labinius,648,1,24116880,4,648,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,127.200000000000,484,,480,0,Exact
akita-infinity-width-v4,phi243-bounded-w46-delta16,162,4,Quantum128BitADPS16,q64-labinius,648,2,24116880,542538891,1296,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,127.995000000000,484,,483,0,Exact
akita-infinity-width-v4,phi243-fixed-w47-delta16,162,1,Quantum128BitADPS16,q64-labinius,162,1,24641160,2,162,6400000000000,false,local-minimum+proven-pruned-certification,128.0,1947.700902635158,27.295000000000,324,0,103,0,Exact
akita-infinity-width-v4,phi243-fixed-w47-delta16,162,1,Quantum128BitADPS16,q64-labinius,162,2,24641160,5,324,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,76.585000000000,484,,289,0,Exact
akita-infinity-width-v4,phi243-fixed-w47-delta16,162,1,Quantum128BitADPS16,q64-labinius,162,3,24641160,9,486,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,104.410000000000,484,,394,0,Exact
akita-infinity-width-v4,phi243-fixed-w47-delta16,162,2,Quantum128BitADPS16,q64-labinius,324,1,24641160,2,324,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,76.585000000000,484,,289,0,Exact
akita-infinity-width-v4,phi243-fixed-w47-delta16,162,2,Quantum128BitADPS16,q64-labinius,324,2,24641160,8,648,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,127.465000000000,484,,481,0,Exact
akita-infinity-width-v4,phi243-fixed-w47-delta16,162,2,Quantum128BitADPS16,q64-labinius,324,3,24641160,322958,972,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,127.995000000000,484,,483,0,Exact
akita-infinity-width-v4,phi243-fixed-w47-delta16,162,4,Quantum128BitADPS16,q64-labinius,648,1,24641160,4,648,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,126.935000000000,484,,479,0,Exact
akita-infinity-width-v4,phi243-fixed-w47-delta16,162,4,Quantum128BitADPS16,q64-labinius,648,2,24641160,518564323,1296,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,127.995000000000,484,,483,0,Exact
akita-infinity-width-v4,phi729-fixed-w25-delta32,486,1,Quantum128BitADPS16,q64-labinius,486,2,858993459000,3,972,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,98.315000000000,484,,371,0,Exact
akita-infinity-width-v4,phi729-fixed-w25-delta32,486,1,Quantum128BitADPS16,q64-labinius,486,3,858993459000,7,1458,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,122.695000000000,484,,463,0,Exact
akita-infinity-width-v4,phi729-fixed-w25-delta32,486,2,Quantum128BitADPS16,q64-labinius,972,2,858993459000,55205,1944,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,127.995000000000,484,,483,0,Exact
akita-infinity-width-v4,phi729-fixed-w25-delta32,486,4,Quantum128BitADPS16,q64-labinius,1944,1,858993459000,27602,1944,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,127.995000000000,484,,483,0,Exact
akita-infinity-width-v4,phi243-bounded-w46-delta32,162,1,Quantum128BitADPS16,q64-labinius,162,2,1580547964560,3,324,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,10.865000000000,484,,41,0,Exact
akita-infinity-width-v4,phi243-bounded-w46-delta32,162,1,Quantum128BitADPS16,q64-labinius,162,3,1580547964560,4,486,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,76.850000000000,484,,290,0,Exact
akita-infinity-width-v4,phi243-bounded-w46-delta32,162,2,Quantum128BitADPS16,q64-labinius,324,2,1580547964560,3,648,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,49.025000000000,484,,185,0,Exact
akita-infinity-width-v4,phi243-bounded-w46-delta32,162,2,Quantum128BitADPS16,q64-labinius,324,3,1580547964560,5,972,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,88.510000000000,484,,334,0,Exact
akita-infinity-width-v4,phi243-bounded-w46-delta32,162,4,Quantum128BitADPS16,q64-labinius,648,2,1580547964560,4,1296,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,100.435000000000,484,,379,0,Exact
akita-infinity-width-v4,phi243-bounded-w46-delta32,162,4,Quantum128BitADPS16,q64-labinius,648,3,1580547964560,21782,1944,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,127.995000000000,484,,483,0,Exact
akita-infinity-width-v4,phi243-fixed-w47-delta32,162,1,Quantum128BitADPS16,q64-labinius,162,2,1614907702920,3,324,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,10.865000000000,484,,41,0,Exact
akita-infinity-width-v4,phi243-fixed-w47-delta32,162,1,Quantum128BitADPS16,q64-labinius,162,3,1614907702920,4,486,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,76.320000000000,484,,288,0,Exact
akita-infinity-width-v4,phi243-fixed-w47-delta32,162,2,Quantum128BitADPS16,q64-labinius,324,2,1614907702920,3,648,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,49.025000000000,484,,185,0,Exact
akita-infinity-width-v4,phi243-fixed-w47-delta32,162,2,Quantum128BitADPS16,q64-labinius,324,3,1614907702920,5,972,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,88.245000000000,484,,333,0,Exact
akita-infinity-width-v4,phi243-fixed-w47-delta32,162,4,Quantum128BitADPS16,q64-labinius,648,2,1614907702920,4,1296,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,100.170000000000,484,,378,0,Exact
