family,d,rank,collision_l2_sq,max_width,target_bits,search_cap,hit_cap,max_rop_log2,next_rop_log2,max_beta,next_beta
q32,32,1,2,6400000000000,128.00000000000000000,6400000000000,true,inf,,4095,
q32,32,2,2,6400000000000,128.00000000000000000,6400000000000,true,inf,,8191,
q32,32,3,2,6400000000000,128.00000000000000000,6400000000000,true,inf,,12287,
q32,32,4,2,6400000000000,128.00000000000000000,6400000000000,true,inf,,16383,
q32,32,5,2,6400000000000,128.00000000000000000,6400000000000,true,inf,,20479,
q32,32,6,2,6400000000000,128.00000000000000000,6400000000000,true,inf,,24575,
q32,32,7,2,6400000000000,128.00000000000000000,6400000000000,true,inf,,28671,
q32,32,8,2,6400000000000,128.00000000000000000,6400000000000,true,inf,,32767,
q32,32,9,2,6400000000000,128.00000000000000000,6400000000000,true,inf,,36863,
q32,32,10,2,6400000000000,128.00000000000000000,6400000000000,true,inf,,40959,
q32,32,11,2,6400000000000,128.00000000000000000,6400000000000,true,inf,,45055,
q32,32,12,2,6400000000000,128.00000000000000000,6400000000000,true,inf,,49151,
q32,32,13,2,6400000000000,128.00000000000000000,6400000000000,true,inf,,53247,
q32,32,14,2,6400000000000,128.00000000000000000,6400000000000,true,inf,,57343,
q32,32,15,2,6400000000000,128.00000000000000000,6400000000000,true,inf,,61439,
q32,32,16,2,6400000000000,128.00000000000000000,6400000000000,true,inf,,65535,
q32,32,17,2,6400000000000,128.00000000000000000,6400000000000,true,inf,,69631,
q32,32,18,2,6400000000000,128.00000000000000000,6400000000000,true,inf,,73727,
q32,32,19,2,6400000000000,128.00000000000000000,6400000000000,true,inf,,77823,
q32,32,20,2,6400000000000,128.00000000000000000,6400000000000,true,inf,,81919,
q32,32,1,4,6400000000000,128.00000000000000000,6400000000000,true,inf,,2047,
q32,32,2,4,6400000000000,128.00000000000000000,6400000000000,true,inf,,4095,
q32,32,3,4,6400000000000,128.00000000000000000,6400000000000,true,inf,,6143,
q32,32,4,4,6400000000000,128.00000000000000000,6400000000000,true,inf,,8191,
q32,32,5,4,6400000000000,128.00000000000000000,6400000000000,true,inf,,10239,
q32,32,6,4,6400000000000,128.00000000000000000,6400000000000,true,inf,,12287,
q32,32,7,4,6400000000000,128.00000000000000000,6400000000000,true,inf,,14335,
q32,32,8,4,6400000000000,128.00000000000000000,6400000000000,true,inf,,16383,
q32,32,9,4,6400000000000,128.00000000000000000,6400000000000,true,inf,,18431,
q32,32,10,4,6400000000000,128.00000000000000000,6400000000000,true,inf,,20479,
q32,32,11,4,6400000000000,128.00000000000000000,6400000000000,true,inf,,22527,
q32,32,12,4,6400000000000,128.00000000000000000,6400000000000,true,inf,,24575,
q32,32,13,4,6400000000000,128.00000000000000000,6400000000000,true,inf,,26623,
q32,32,14,4,6400000000000,128.00000000000000000,6400000000000,true,inf,,28671,
q32,32,15,4,6400000000000,128.00000000000000000,6400000000000,true,inf,,30719,
q32,32,16,4,6400000000000,128.00000000000000000,6400000000000,true,inf,,32767,
q32,32,17,4,6400000000000,128.00000000000000000,6400000000000,true,inf,,34815,
q32,32,18,4,6400000000000,128.00000000000000000,6400000000000,true,inf,,36863,
q32,32,19,4,6400000000000,128.00000000000000000,6400000000000,true,inf,,38911,
q32,32,20,4,6400000000000,128.00000000000000000,6400000000000,true,inf,,40959,
q32,32,1,8,6400000000000,128.00000000000000000,6400000000000,true,inf,,1365,
q32,32,2,8,6400000000000,128.00000000000000000,6400000000000,true,inf,,2730,
q32,32,3,8,6400000000000,128.00000000000000000,6400000000000,true,inf,,4095,
q32,32,4,8,6400000000000,128.00000000000000000,6400000000000,true,inf,,5461,
q32,32,5,8,6400000000000,128.00000000000000000,6400000000000,true,inf,,6826,
q32,32,6,8,6400000000000,128.00000000000000000,6400000000000,true,inf,,8191,
q32,32,7,8,6400000000000,128.00000000000000000,6400000000000,true,inf,,9557,
q32,32,8,8,6400000000000,128.00000000000000000,6400000000000,true,inf,,10922,
q32,32,9,8,6400000000000,128.00000000000000000,6400000000000,true,inf,,12287,
q32,32,10,8,6400000000000,128.00000000000000000,6400000000000,true,inf,,13653,
q32,32,11,8,6400000000000,128.00000000000000000,6400000000000,true,inf,,15018,
q32,32,12,8,6400000000000,128.00000000000000000,6400000000000,true,inf,,16383,
q32,32,13,8,6400000000000,128.00000000000000000,6400000000000,true,inf,,17749,
q32,32,14,8,6400000000000,128.00000000000000000,6400000000000,true,inf,,19114,
q32,32,15,8,6400000000000,128.00000000000000000,6400000000000,true,inf,,20479,
q32,32,16,8,6400000000000,128.00000000000000000,6400000000000,true,inf,,21845,
q32,32,17,8,6400000000000,128.00000000000000000,6400000000000,true,inf,,23210,
q32,32,18,8,6400000000000,128.00000000000000000,6400000000000,true,inf,,24575,
q32,32,19,8,6400000000000,128.00000000000000000,6400000000000,true,inf,,25941,
q32,32,20,8,6400000000000,128.00000000000000000,6400000000000,true,inf,,27306,
q32,32,1,16,6400000000000,128.00000000000000000,6400000000000,true,inf,,1023,
q32,32,2,16,6400000000000,128.00000000000000000,6400000000000,true,inf,,2047,
q32,32,3,16,6400000000000,128.00000000000000000,6400000000000,true,inf,,3071,
q32,32,4,16,6400000000000,128.00000000000000000,6400000000000,true,inf,,4095,
q32,32,5,16,6400000000000,128.00000000000000000,6400000000000,true,inf,,5119,
q32,32,6,16,6400000000000,128.00000000000000000,6400000000000,true,inf,,6143,
q32,32,7,16,6400000000000,128.00000000000000000,6400000000000,true,inf,,7167,
q32,32,8,16,6400000000000,128.00000000000000000,6400000000000,true,inf,,8191,
q32,32,9,16,6400000000000,128.00000000000000000,6400000000000,true,inf,,9215,
q32,32,10,16,6400000000000,128.00000000000000000,6400000000000,true,inf,,10239,
q32,32,11,16,6400000000000,128.00000000000000000,6400000000000,true,inf,,11263,
q32,32,12,16,6400000000000,128.00000000000000000,6400000000000,true,inf,,12287,
q32,32,13,16,6400000000000,128.00000000000000000,6400000000000,true,inf,,13311,
q32,32,14,16,6400000000000,128.00000000000000000,6400000000000,true,inf,,14335,
q32,32,15,16,6400000000000,128.00000000000000000,6400000000000,true,inf,,15359,
q32,32,16,16,6400000000000,128.00000000000000000,6400000000000,true,inf,,16383,
q32,32,17,16,6400000000000,128.00000000000000000,6400000000000,true,inf,,17407,
q32,32,18,16,6400000000000,128.00000000000000000,6400000000000,true,inf,,18431,
q32,32,19,16,6400000000000,128.00000000000000000,6400000000000,true,inf,,19455,
q32,32,20,16,6400000000000,128.00000000000000000,6400000000000,true,inf,,20479,
q32,32,1,32,6400000000000,128.00000000000000000,6400000000000,true,inf,,819,
q32,32,2,32,6400000000000,128.00000000000000000,6400000000000,true,inf,,1638,
q32,32,3,32,6400000000000,128.00000000000000000,6400000000000,true,inf,,2457,
q32,32,4,32,6400000000000,128.00000000000000000,6400000000000,true,inf,,3276,
q32,32,5,32,6400000000000,128.00000000000000000,6400000000000,true,inf,,4095,
q32,32,6,32,6400000000000,128.00000000000000000,6400000000000,true,inf,,4915,
q32,32,7,32,6400000000000,128.00000000000000000,6400000000000,true,inf,,5734,
q32,32,8,32,6400000000000,128.00000000000000000,6400000000000,true,inf,,6553,
q32,32,9,32,6400000000000,128.00000000000000000,6400000000000,true,inf,,7372,
q32,32,10,32,6400000000000,128.00000000000000000,6400000000000,true,inf,,8191,
q32,32,11,32,6400000000000,128.00000000000000000,6400000000000,true,inf,,9011,
q32,32,12,32,6400000000000,128.00000000000000000,6400000000000,true,inf,,9830,
q32,32,13,32,6400000000000,128.00000000000000000,6400000000000,true,inf,,10649,
