policy,modulus_profile,d,rank,coeff_linf_bound,max_width,scalar_n,search_cap,hit_cap,profile,target_bits,max_adps16_quantum_rop_log2,next_adps16_quantum_rop_log2,max_beta,max_zeta,next_beta,next_zeta,cutoff_kind
Quantum128BitADPS16,q31,64,1,2,271,64,6400000000000,false,local-minimum+proven-pruned-certification,128.0,128.260000000000,127.995000000000,484,0,483,0,Exact
Quantum128BitADPS16,q31,64,2,2,20060,128,6400000000000,false,local-minimum+proven-pruned-certification,128.0,128.260000000000,127.995000000000,484,0,483,0,Exact
Quantum128BitADPS16,q31,64,3,2,441443,192,6400000000000,false,local-minimum+proven-pruned-certification,128.0,128.260000000000,127.995000000000,484,0,483,0,Exact
Quantum128BitADPS16,q31,64,4,2,5626852,256,6400000000000,false,local-minimum+proven-pruned-certification,128.0,128.260000000000,127.995000000000,484,0,483,0,Exact
Quantum128BitADPS16,q31,64,5,2,51469439,320,6400000000000,false,local-minimum+proven-pruned-certification,128.0,128.260000000000,127.995000000000,484,0,483,0,Exact
Quantum128BitADPS16,q31,64,6,2,374357991,384,6400000000000,false,local-minimum+proven-pruned-certification,128.0,128.260000000000,127.995000000000,484,0,483,0,Exact
Quantum128BitADPS16,q31,64,7,2,2295911737,448,6400000000000,false,local-minimum+proven-pruned-certification,128.0,128.260000000000,127.995000000000,484,0,483,0,Exact
Quantum128BitADPS16,q31,64,8,2,12323683863,512,6400000000000,false,local-minimum+proven-pruned-certification,128.0,128.260000000000,127.995000000000,484,0,483,0,Exact
Quantum128BitADPS16,q31,64,9,2,59386347074,576,6400000000000,false,local-minimum+proven-pruned-certification,128.0,128.260000000000,127.995000000000,484,0,483,0,Exact
Quantum128BitADPS16,q31,64,10,2,261652182349,640,6400000000000,false,local-minimum+proven-pruned-certification,128.0,128.260000000000,127.995000000000,484,0,483,0,Exact
Quantum128BitADPS16,q31,64,11,2,1068504531368,704,6400000000000,false,local-minimum+proven-pruned-certification,128.0,128.260000000000,127.995000000000,484,0,483,0,Exact
Quantum128BitADPS16,q31,64,12,2,4086996122343,768,6400000000000,false,local-minimum+proven-pruned-certification,128.0,128.260000000000,127.995000000000,484,0,483,0,Exact
Quantum128BitADPS16,q31,64,13,2,6400000000000,832,6400000000000,true,local-minimum+proven-pruned-certification,128.0,137.800000000000,,520,0,,,AtLeast
Quantum128BitADPS16,q31,64,14,2,6400000000000,896,6400000000000,true,local-minimum+proven-pruned-certification,128.0,152.640000000000,,576,0,,,AtLeast
Quantum128BitADPS16,q31,64,15,2,6400000000000,960,6400000000000,true,local-minimum+proven-pruned-certification,128.0,167.745000000000,,633,0,,,AtLeast
Quantum128BitADPS16,q31,64,16,2,6400000000000,1024,6400000000000,true,local-minimum+proven-pruned-certification,128.0,183.380000000000,,692,0,,,AtLeast
Quantum128BitADPS16,q31,64,17,2,6400000000000,1088,6400000000000,true,local-minimum+proven-pruned-certification,128.0,199.015000000000,,751,0,,,AtLeast
Quantum128BitADPS16,q31,64,18,2,6400000000000,1152,6400000000000,true,local-minimum+proven-pruned-certification,128.0,214.915000000000,,811,0,,,AtLeast
Quantum128BitADPS16,q31,64,19,2,6400000000000,1216,6400000000000,true,local-minimum+proven-pruned-certification,128.0,230.815000000000,,871,0,,,AtLeast
Quantum128BitADPS16,q31,64,20,2,6400000000000,1280,6400000000000,true,local-minimum+proven-pruned-certification,128.0,246.980000000000,,932,0,,,AtLeast
Quantum128BitADPS16,q31,128,1,2,10030,128,6400000000000,false,local-minimum+proven-pruned-certification,128.0,128.260000000000,127.995000000000,484,0,483,0,Exact
Quantum128BitADPS16,q31,128,2,2,2813426,256,6400000000000,false,local-minimum+proven-pruned-certification,128.0,128.260000000000,127.995000000000,484,0,483,0,Exact
Quantum128BitADPS16,q31,128,3,2,187178995,384,6400000000000,false,local-minimum+proven-pruned-certification,128.0,128.260000000000,127.995000000000,484,0,483,0,Exact
Quantum128BitADPS16,q31,128,4,2,6161841931,512,6400000000000,false,local-minimum+proven-pruned-certification,128.0,128.260000000000,127.995000000000,484,0,483,0,Exact
Quantum128BitADPS16,q31,128,5,2,130826091174,640,6400000000000,false,local-minimum+proven-pruned-certification,128.0,128.260000000000,127.995000000000,484,0,483,0,Exact
Quantum128BitADPS16,q31,128,6,2,2043498061171,768,6400000000000,false,local-minimum+proven-pruned-certification,128.0,128.260000000000,127.995000000000,484,0,483,0,Exact
Quantum128BitADPS16,q31,128,7,2,6400000000000,896,6400000000000,true,local-minimum+proven-pruned-certification,128.0,143.895000000000,,543,0,,,AtLeast
Quantum128BitADPS16,q31,128,8,2,6400000000000,1024,6400000000000,true,local-minimum+proven-pruned-certification,128.0,172.780000000000,,652,0,,,AtLeast
Quantum128BitADPS16,q31,128,9,2,6400000000000,1152,6400000000000,true,local-minimum+proven-pruned-certification,128.0,202.725000000000,,765,0,,,AtLeast
Quantum128BitADPS16,q31,128,10,2,6400000000000,1280,6400000000000,true,local-minimum+proven-pruned-certification,128.0,233.465000000000,,881,0,,,AtLeast
Quantum128BitADPS16,q31,128,11,2,6400000000000,1408,6400000000000,true,local-minimum+proven-pruned-certification,128.0,264.735000000000,,999,0,,,AtLeast
Quantum128BitADPS16,q31,128,12,2,6400000000000,1536,6400000000000,true,local-minimum+proven-pruned-certification,128.0,296.800000000000,,1120,0,,,AtLeast
Quantum128BitADPS16,q31,128,13,2,6400000000000,1664,6400000000000,true,local-minimum+proven-pruned-certification,128.0,329.395000000000,,1243,0,,,AtLeast
Quantum128BitADPS16,q31,128,14,2,6400000000000,1792,6400000000000,true,local-minimum+proven-pruned-certification,128.0,362.520000000000,,1368,0,,,AtLeast
