q,d,collision,rank,max_width,target_bits,search_cap
4294967197,32,16384,1,6,128.0,10000000000
4294967197,32,16384,5,10000000000,128.0,10000000000
4294967197,32,16384,20,10000000000,128.0,10000000000
4294967197,32,65536,1,5,128.0,10000000000
4294967197,32,65536,5,10000000000,128.0,10000000000
4294967197,32,65536,20,10000000000,128.0,10000000000
4294967197,32,262144,1,4,128.0,10000000000
4294967197,32,262144,5,10000000000,128.0,10000000000
4294967197,32,262144,20,10000000000,128.0,10000000000
4294967197,64,16384,1,6,128.0,10000000000
4294967197,64,16384,5,10000000000,128.0,10000000000
4294967197,64,16384,20,10000000000,128.0,10000000000
4294967197,64,65536,1,5,128.0,10000000000
4294967197,64,65536,5,10000000000,128.0,10000000000
4294967197,64,65536,20,10000000000,128.0,10000000000
4294967197,64,1048576,1,3,128.0,10000000000
4294967197,64,1048576,5,10000000000,128.0,10000000000
4294967197,64,1048576,20,10000000000,128.0,10000000000
4294967197,128,16384,1,50000000000,128.0,50000000000
4294967197,128,16384,5,50000000000,128.0,50000000000
4294967197,128,16384,20,50000000000,128.0,50000000000
4294967197,128,65536,1,50000000000,128.0,50000000000
4294967197,128,65536,5,50000000000,128.0,50000000000
4294967197,128,65536,20,50000000000,128.0,50000000000
4294967197,256,16384,1,10000000000,128.0,10000000000
4294967197,256,16384,5,10000000000,128.0,10000000000
4294967197,256,16384,20,10000000000,128.0,10000000000
4294967197,256,65536,1,10000000000,128.0,10000000000
4294967197,256,65536,5,10000000000,128.0,10000000000
4294967197,256,65536,20,10000000000,128.0,10000000000
18446744073709551557,32,16384,1,13,128.0,10000000000
18446744073709551557,32,16384,5,10000000000,128.0,10000000000
18446744073709551557,32,16384,20,10000000000,128.0,10000000000
18446744073709551557,32,65536,1,11,128.0,10000000000
18446744073709551557,32,65536,5,10000000000,128.0,10000000000
18446744073709551557,32,65536,20,10000000000,128.0,10000000000
18446744073709551557,64,16384,1,10000000000,128.0,10000000000
18446744073709551557,64,16384,5,10000000000,128.0,10000000000
18446744073709551557,64,16384,20,10000000000,128.0,10000000000
18446744073709551557,64,65536,1,10000000000,128.0,10000000000
18446744073709551557,64,65536,5,10000000000,128.0,10000000000
18446744073709551557,64,65536,20,10000000000,128.0,10000000000
18446744073709551557,128,16384,1,50000000000,128.0,50000000000
18446744073709551557,128,16384,5,50000000000,128.0,50000000000
18446744073709551557,128,16384,20,50000000000,128.0,50000000000
18446744073709551557,256,16384,1,10000000000,128.0,10000000000
18446744073709551557,256,16384,5,10000000000,128.0,10000000000
18446744073709551557,256,16384,20,10000000000,128.0,10000000000
340282366920938463463374607427473266697,32,16384,1,10000000000,128.0,10000000000
340282366920938463463374607427473266697,32,16384,5,10000000000,128.0,10000000000
340282366920938463463374607427473266697,32,16384,20,10000000000,128.0,10000000000
340282366920938463463374607427473266697,32,65536,1,10000000000,128.0,10000000000
340282366920938463463374607427473266697,32,65536,5,10000000000,128.0,10000000000
340282366920938463463374607427473266697,32,65536,20,10000000000,128.0,10000000000
340282366920938463463374607427473266697,64,16384,1,10000000000,128.0,10000000000
340282366920938463463374607427473266697,64,16384,5,10000000000,128.0,10000000000
340282366920938463463374607427473266697,64,16384,20,10000000000,128.0,10000000000
340282366920938463463374607427473266697,128,16384,1,50000000000,128.0,50000000000
340282366920938463463374607427473266697,128,16384,5,50000000000,128.0,50000000000
340282366920938463463374607427473266697,128,16384,20,50000000000,128.0,50000000000
340282366920938463463374607427473266697,256,16384,1,10000000000,128.0,10000000000
340282366920938463463374607427473266697,256,16384,5,10000000000,128.0,10000000000
340282366920938463463374607427473266697,256,16384,20,10000000000,128.0,10000000000
