family,q,d,rank,width,coeff_linf_bound,target_bits,rop_log2,red_log2,sieve_log2,prob_log2,repetitions_log2,beta,eta,zeta,lattice_dimension,security_met,tiny_probability,trust,notes
q128,340282366920938463463374607427473266697,32,1,2,2,138,3946.8240526622785,3946.8240526622785,inf,-3926.2247981895789,inf,63,63,0,64,true,true,trusted,
q128,340282366920938463463374607427473266697,32,1,2,15,138,3760.7830545433335,3760.7830545433335,inf,-3740.1838000706339,inf,63,63,0,64,true,true,trusted,
q128,340282366920938463463374607427473266697,32,1,2,255,138,3499.1854327033116,3499.1854327033116,inf,-3478.5861782306119,inf,63,63,0,64,true,true,trusted,
q128,340282366920938463463374607427473266697,32,1,2,4095,138,3242.846597524463,3242.846597524463,inf,-3222.2473430517634,inf,63,63,0,64,true,true,trusted,
q128,340282366920938463463374607427473266697,32,1,8,2,138,3482.314166446668,3482.314166446668,inf,-3405.6509119739681,inf,255,255,0,256,true,true,trusted,
q128,340282366920938463463374607427473266697,32,1,8,15,138,2738.1502132242522,2738.1502132242522,inf,-2661.4869587515523,inf,255,255,0,256,true,true,trusted,
q128,340282366920938463463374607427473266697,32,1,8,255,138,1691.7712353040472,1691.7712353040472,inf,-1615.1079808313475,inf,255,255,0,256,true,true,trusted,
q128,340282366920938463463374607427473266697,32,1,8,4095,138,669.37321666170772,669.37321666170772,262.72040717297153,-592.70996218900802,594.91321666170779,255,255,0,256,true,true,trusted,
q128,340282366920938463463374607427473266697,32,5,10,2,138,inf,19711.151765269024,inf,-19615.800510796325,inf,319,319,0,320,true,true,trusted,
q128,340282366920938463463374607427473266697,32,5,10,15,138,inf,18780.946774674296,inf,-18685.595520201598,inf,319,319,0,320,true,true,trusted,
q128,340282366920938463463374607427473266697,32,5,10,255,138,inf,17472.958665474187,inf,-17377.607411001489,inf,319,319,0,320,true,true,trusted,
q128,340282366920938463463374607427473266697,32,5,10,4095,138,inf,16191.264489579946,inf,-16095.913235107246,inf,319,319,0,320,true,true,trusted,
q128,340282366920938463463374607427473266697,32,5,40,2,138,inf,17380.969995211181,inf,-17005.298740738483,inf,1279,1279,0,1280,true,true,trusted,
q128,340282366920938463463374607427473266697,32,5,40,15,138,inf,13660.150233859093,inf,-13284.478979386393,inf,1279,1279,0,1280,true,true,trusted,
