policy,modulus_profile,ring_dimension,module_rank,coeff_linf_bound,scalar_n,accepted_m,immediate_rejected_m,cutoff_kind,certificate_domain,search_cap,hit_cap,discovery_profile
Quantum128BitADPS16,Q32Offset99,32,1,2,32,448,449,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,2,2,64,20768,20769,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,3,2,96,232896,232897,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,4,2,128,1605856,1605857,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,5,2,160,8425568,8425569,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,6,2,192,36836448,36836449,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,7,2,224,140971840,140971841,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,8,2,256,486802240,486802241,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,9,2,288,1547986432,1547986433,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,10,2,320,4598640992,4598640993,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,11,2,352,12899211072,12899211073,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,12,2,384,34443025184,34443025185,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,13,2,416,88108049600,88108049601,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,14,2,448,217033751200,217033751201,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,15,2,480,320000000000,320000000000,AtLeast,exhaustive-beta-zeta,10000000000,true,local-minimum
Quantum128BitADPS16,Q32Offset99,32,16,2,512,320000000000,320000000000,AtLeast,exhaustive-beta-zeta,10000000000,true,local-minimum
Quantum128BitADPS16,Q32Offset99,32,17,2,544,320000000000,320000000000,AtLeast,exhaustive-beta-zeta,10000000000,true,local-minimum
Quantum128BitADPS16,Q32Offset99,32,18,2,576,320000000000,320000000000,AtLeast,exhaustive-beta-zeta,10000000000,true,local-minimum
Quantum128BitADPS16,Q32Offset99,32,19,2,608,320000000000,320000000000,AtLeast,exhaustive-beta-zeta,10000000000,true,local-minimum
Quantum128BitADPS16,Q32Offset99,32,20,2,640,320000000000,320000000000,AtLeast,exhaustive-beta-zeta,10000000000,true,local-minimum
Quantum128BitADPS16,Q32Offset99,32,1,3,32,320,321,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,2,3,64,7168,7169,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,3,3,96,89376,89377,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,4,3,128,639328,639329,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,5,3,160,3420640,3420641,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,6,3,192,15141664,15141665,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,7,3,224,58451776,58451777,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,8,3,256,203156352,203156353,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,9,3,288,649290176,649290177,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,10,3,320,1936732416,1936732417,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,11,3,352,5450863488,5450863489,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,12,3,384,14596093344,14596093345,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,13,3,416,37428992800,37428992801,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,14,3,448,92392867936,92392867937,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,15,3,480,220479824032,220479824033,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,16,3,512,320000000000,320000000000,AtLeast,exhaustive-beta-zeta,10000000000,true,local-minimum
Quantum128BitADPS16,Q32Offset99,32,17,3,544,320000000000,320000000000,AtLeast,exhaustive-beta-zeta,10000000000,true,local-minimum
Quantum128BitADPS16,Q32Offset99,32,18,3,576,320000000000,320000000000,AtLeast,exhaustive-beta-zeta,10000000000,true,local-minimum
Quantum128BitADPS16,Q32Offset99,32,19,3,608,320000000000,320000000000,AtLeast,exhaustive-beta-zeta,10000000000,true,local-minimum
Quantum128BitADPS16,Q32Offset99,32,20,3,640,320000000000,320000000000,AtLeast,exhaustive-beta-zeta,10000000000,true,local-minimum
Quantum128BitADPS16,Q32Offset99,32,1,7,32,224,225,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,2,7,64,512,513,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,3,7,96,10784,10785,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,4,7,128,88352,88353,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,5,7,160,502528,502529,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,6,7,192,2305280,2305281,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,7,7,224,9113472,9113473,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,8,7,256,32223712,32223713,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,9,7,288,104343168,104343169,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,10,7,320,314477376,314477377,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,11,7,352,892578784,892578785,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,12,7,384,2406961408,2406961409,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,13,7,416,6209120896,6209120897,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,14,7,448,15406044320,15406044321,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,15,7,480,36928984672,36928984673,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,16,7,512,85829285408,85829285409,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,17,7,544,194006031072,194006031073,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,18,7,576,320000000000,320000000000,AtLeast,exhaustive-beta-zeta,10000000000,true,local-minimum
Quantum128BitADPS16,Q32Offset99,32,19,7,608,320000000000,320000000000,AtLeast,exhaustive-beta-zeta,10000000000,true,local-minimum
Quantum128BitADPS16,Q32Offset99,32,20,7,640,320000000000,320000000000,AtLeast,exhaustive-beta-zeta,10000000000,true,local-minimum
Quantum128BitADPS16,Q32Offset99,32,1,15,32,160,161,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,2,15,64,384,385,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,3,15,96,1088,1089,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,4,15,128,13312,13313,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,5,15,160,84256,84257,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,6,15,192,407488,407489,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,7,15,224,1663552,1663553,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,8,15,256,6012384,6012385,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,9,15,288,19783168,19783169,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,10,15,320,60362336,60362337,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,11,15,352,173012192,173012193,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,12,15,384,470303200,470303201,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,13,15,416,1221365632,1221365633,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,14,15,448,3047742624,3047742625,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,15,15,480,7341527872,7341527873,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,16,15,512,17136254144,17136254145,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,17,15,544,38881003296,38881003297,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,18,15,576,85981496320,85981496321,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,19,15,608,185738763392,185738763393,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,20,15,640,320000000000,320000000000,AtLeast,exhaustive-beta-zeta,10000000000,true,local-minimum
Quantum128BitADPS16,Q32Offset99,32,1,31,32,128,129,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,2,31,64,288,289,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,3,31,96,480,481,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,4,31,128,1664,1665,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
