log2_arg,log2_erf
-10000.0,-9999.82574806473615939902163964755400366750923846338152076470
-1000.0,-999.825748064736159399021639647554003667509238463381520764703
-40.0,-39.8257480647361593990216400453437928840919249156891855539354
-20.000000000000004,-19.8257480647366003262339725896235715582709747539857189560197
-20.0,-19.8257480647365967735202937912767583811726186867783772420640
-19.999999999999996,-19.8257480647365932208066149929299452040742732288235750621785
-19.875,-19.7007480647366795278873598913844918951807550240598946316695
-19.75,-19.5757480647367779399694724395448253935286326158645915854306
-19.625,-19.4507480647368949723177229068429191649993356772754393300992
-19.5,-19.3257480647370341480189478289222359704323257079452125465058
-19.375,-19.2007480647371996567530799851990561539162460693893716137115
-19.25,-19.0757480647373964809173050193810928707559039701764603784240
-19.125,-18.9507480647376305456138058660999867246429848123826060641506
-19.0,-18.8257480647379088970162555859813597758142262171303220490871
-18.875,-18.7007480647382399144845197227804127647027736014825003986916
-18.75,-18.5757480647386335628129695425899650790419848565250203750243
-18.625,-18.4507480647391016922059708845185780307405946288427075365575
-18.5,-18.3257480647396583950108698271722818945425156176971878951718
-18.375,-18.2007480647403204299473973977520383604033643437722643398225
-18.25,-18.0757480647411077266042960431530585123956453457919269831975
-18.125,-17.9507480647420439853902973209735853926246509249911420185682
-18.0,-17.8257480647431573910000932178448241679733880659502527643753
-17.875,-17.7007480647444814608731455469309390552375198397115057760362
-17.75,-17.5757480647460560541869388608606414578717292359913251767500
-17.625,-17.4507480647479285717589357923548991347288339962071387655678
-17.5,-17.3257480647501553829785196323527008916630284976855326663551
-17.375,-17.2007480647528035227246130422313385140203772687740493157859
-17.25,-17.0757480647559527093521837626013917570410930265033734059141
-17.125,-16.9507480647596977444961551290027228489272726630840640544163
-17.0,-16.8257480647641513669352909940196233097996590775248479469365
-16.875,-16.7007480647694476464274328206025301511054810124722610343390
-16.75,-16.5757480647757460196825106313852307333857595613382334136153
-16.625,-16.4507480647832360899703633778391564504507649762659285454436
-16.5,-16.3257480647921433348485078479581461366684597292975818538994
-16.375,-16.2007480648027358938326115284264878478428691828599245066392
-16.25,-16.0757480648153326403425126301622681591960878451204285162079
-16.125,-15.9507480648303127809178581776751783713348087575427499307917
-16.0,-15.8257480648481272706736380782539206133173443822016003161474
-15.875,-15.7007480648693123886411255484007292875033701172491149098603
