family	logical_key	lookup_key_digest	setup_fields	first_direct_setup_capacity	proof_bytes	fold_levels	row_digest	policy
fp128_dense	final=14:1;precommitted=	235fdc37cb4e83e243a17cafde8597967ef2316443a2656dee73a57dc55cac8e	163840	32768	69020	5	a583f21623c95f6d2f8a5eed579c26d9613ab52806202c9df3c5466fb650b7a1	L0[chunks=1@0,eor=0,in=16384,out=487360;witness=PACK,s=64,h=8,partial=64,quotient=64,src=canonical,dA=512,sec=Linf]/L1[chunks=1@0,eor=0,in=487360,out=321024;witness=PACK,s=64,h=1,partial=64,quotient=64,src=canonical,dA=64,sec=Linf]/L2[chunks=1@0,eor=0,in=321024,out=259584;witness=ET,s=-,h=-,partial=-,quotient=-,src=canonical,dA=64,sec=Linf]/L3[chunks=1@0,eor=0,in=259584,out=128768;witness=ET,s=-,h=-,partial=-,quotient=-,src=canonical,dA=64,sec=L2]/T[method=ET,src=canonical,eor=0,input=128768,dA=64,sec=L2]
fp128_dense	final=15:2;precommitted=	c087e777d755574ba60cc3ed9d2768052d7510780d99c0fe235c0a00f0202e57	206400	65536	71232	6	dcccdf5a1c686b9d136fdfa1783d5a666c3f0f94d8b4011de7b79b1d21177979	L0[chunks=1@0,eor=0,in=32768,out=894400;witness=PACK,s=64,h=8,partial=64,quotient=64,src=canonical,dA=512,sec=Linf]/L1[chunks=1@0,eor=0,in=894400,out=483328;witness=PACK,s=128,h=2,partial=128,quotient=128,src=canonical,dA=256,sec=Linf]/L2[chunks=1@0,eor=0,in=483328,out=423360;witness=ET,s=-,h=-,partial=-,quotient=-,src=canonical,dA=64,sec=Linf]/L3[chunks=1@0,eor=0,in=423360,out=239104;witness=ET,s=-,h=-,partial=-,quotient=-,src=canonical,dA=64,sec=L2]/L4[chunks=1@0,eor=0,in=239104,out=128768;witness=ET,s=-,h=-,partial=-,quotient=-,src=canonical,dA=64,sec=L2]/T[method=ET,src=canonical,eor=0,input=128768,dA=64,sec=L2]
fp128_dense	final=16:1;precommitted=	619d5acd56307a5aff5911635e36969a167028482b33cc55f9f90598a55554be	206400	65536	71232	6	52070e28fc336429933ff3835c6707ecbf77e795df4d9dfedfde08646cfb6893	L0[chunks=1@0,eor=0,in=65536,out=894400;witness=PACK,s=64,h=8,partial=64,quotient=64,src=canonical,dA=512,sec=Linf]/L1[chunks=1@0,eor=0,in=894400,out=483328;witness=PACK,s=128,h=2,partial=128,quotient=128,src=canonical,dA=256,sec=Linf]/L2[chunks=1@0,eor=0,in=483328,out=423360;witness=ET,s=-,h=-,partial=-,quotient=-,src=canonical,dA=64,sec=Linf]/L3[chunks=1@0,eor=0,in=423360,out=239104;witness=ET,s=-,h=-,partial=-,quotient=-,src=canonical,dA=64,sec=L2]/L4[chunks=1@0,eor=0,in=239104,out=128768;witness=ET,s=-,h=-,partial=-,quotient=-,src=canonical,dA=64,sec=L2]/T[method=ET,src=canonical,eor=0,input=128768,dA=64,sec=L2]
fp128_dense	final=16:1;precommitted=14:1	350bce792ee9b6988e1b5facd53d8dbea9508f8ec83bc8abce500253bd6a2c3d	327680	131072	71456	6	d44986245472eafe488ccddfe6e3f078ad58a4c54f2040d85649210f59283fe8	L0[chunks=1@0,eor=0,in=65536,out=1465344;witness=PACK,s=256,h=2,partial=256,quotient=256,src=canonical,dA=512,sec=Linf;pre0=PACK,s=64,h=8,partial=64,quotient=64,src=canonical,dA=512,sec=Linf]/L1[chunks=1@0,eor=0,in=1465344,out=707520;witness=PACK,s=256,h=1,partial=256,quotient=256,src=canonical,dA=256,sec=Linf]/L2[chunks=1@0,eor=0,in=707520,out=488384;witness=ET,s=-,h=-,partial=-,quotient=-,src=canonical,dA=64,sec=Linf]/L3[chunks=1@0,eor=0,in=488384,out=255488;witness=ET,s=-,h=-,partial=-,quotient=-,src=canonical,dA=64,sec=L2]/L4[chunks=1@0,eor=0,in=255488,out=128768;witness=ET,s=-,h=-,partial=-,quotient=-,src=canonical,dA=64,sec=L2]/T[method=ET,src=canonical,eor=0,input=128768,dA=64,sec=L2]
fp128_dense	final=16:2;precommitted=	1d3119b577401489425a46a52a8368829ffee0287db544156fcb790c4c1190e1	327680	131072	71456	6	c2372d2236e48f933ecd9dd8692d420e1cb1843206a9c73590276a38ed1590c3	L0[chunks=1@0,eor=0,in=65536,out=1577408;witness=PACK,s=64,h=8,partial=64,quotient=64,src=canonical,dA=512,sec=Linf]/L1[chunks=1@0,eor=0,in=1577408,out=663424;witness=PACK,s=128,h=2,partial=128,quotient=128,src=canonical,dA=256,sec=Linf]/L2[chunks=1@0,eor=0,in=663424,out=488384;witness=ET,s=-,h=-,partial=-,quotient=-,src=canonical,dA=64,sec=Linf]/L3[chunks=1@0,eor=0,in=488384,out=255488;witness=ET,s=-,h=-,partial=-,quotient=-,src=canonical,dA=64,sec=L2]/L4[chunks=1@0,eor=0,in=255488,out=128768;witness=ET,s=-,h=-,partial=-,quotient=-,src=canonical,dA=64,sec=L2]/T[method=ET,src=canonical,eor=0,input=128768,dA=64,sec=L2]
fp128_dense	final=17:4;precommitted=	b996d72cefb7a0a3262ac30ce0fd4e4200b27eff277fd1922a3c219011e6383f	327680	262144	72208	6	7e10869ce856cb0b6ce1375f9cca7bb10fc3f4e8990c73427808b57f5dabd64c	L0[chunks=1@0,eor=0,in=131072,out=3025344;witness=PACK,s=64,h=8,partial=64,quotient=64,src=canonical,dA=512,sec=Linf]/L1[chunks=1@0,eor=0,in=3025344,out=1029184;witness=PACK,s=128,h=2,partial=128,quotient=128,src=canonical,dA=256,sec=Linf]/L2[chunks=1@0,eor=0,in=1029184,out=431616;witness=ET,s=-,h=-,partial=-,quotient=-,src=canonical,dA=64,sec=Linf]/L3[chunks=1@0,eor=0,in=431616,out=247296;witness=ET,s=-,h=-,partial=-,quotient=-,src=canonical,dA=64,sec=L2]/L4[chunks=1@0,eor=0,in=247296,out=128768;witness=ET,s=-,h=-,partial=-,quotient=-,src=canonical,dA=64,sec=L2]/T[method=ET,src=canonical,eor=0,input=128768,dA=64,sec=L2]
fp128_dense	final=24:1;precommitted=	94e7a14c6d0dc602c7ebc7e2d1dd26de309a4ccf1ba006bd7c284ecae724ca0d	1048576	1048576	74772	7	ecfaff8fd5823e3d3aa11a5bc044267e00e78c6578d9f215bbcec8abfd11a6d5	L0[chunks=1@0,eor=0,in=16777216,out=12761536;witness=PACK,s=64,h=8,partial=64,quotient=64,src=canonical,dA=512,sec=Linf]/L1[chunks=1@0,eor=0,in=12761536,out=2039872;witness=PACK,s=64,h=2,partial=64,quotient=64,src=canonical,dA=128,sec=Linf]/L2[chunks=1@0,eor=0,in=2039872,out=833088;witness=ET,s=-,h=-,partial=-,quotient=-,src=canonical,dA=64,sec=Linf]/L3[chunks=1@0,eor=0,in=833088,out=444352;witness=ET,s=-,h=-,partial=-,quotient=-,src=canonical,dA=64,sec=L2]/L4[chunks=1@0,eor=0,in=444352,out=247296;witness=ET,s=-,h=-,partial=-,quotient=-,src=canonical,dA=64,sec=L2]/L5[chunks=1@0,eor=0,in=247296,out=128768;witness=ET,s=-,h=-,partial=-,quotient=-,src=canonical,dA=64,sec=L2]/T[method=ET,src=canonical,eor=0,input=128768,dA=64,sec=L2]
fp128_dense	final=26:1;precommitted=	c93e949f727a2db762f7dbfe2fcdcdc29cf0a3b5fd10f76b3019de436810bc9b	2818048	4194304	74996	7	0276d2da9c4ad473f926216ae818607b3333b46ea2c8ccbb81cd8abf6d2c9617	L0[chunks=1@0,eor=0,in=67108864,out=32963008;witness=PACK,s=64,h=4,partial=64,quotient=64,src=canonical,dA=256,sec=Linf]/L1[chunks=1@0,eor=0,in=32963008,out=3721344;witness=PACK,s=64,h=4,partial=64,quotient=64,src=canonical,dA=256,sec=Linf]/L2[chunks=1@0,eor=0,in=3721344,out=1047744;witness=ET,s=-,h=-,partial=-,quotient=-,src=canonical,dA=64,sec=Linf]/L3[chunks=1@0,eor=0,in=1047744,out=477376;witness=ET,s=-,h=-,partial=-,quotient=-,src=canonical,dA=64,sec=L2]/L4[chunks=1@0,eor=0,in=477376,out=255488;witness=ET,s=-,h=-,partial=-,quotient=-,src=canonical,dA=64,sec=L2]/L5[chunks=1@0,eor=0,in=255488,out=128768;witness=ET,s=-,h=-,partial=-,quotient=-,src=canonical,dA=64,sec=L2]/T[method=ET,src=canonical,eor=0,input=128768,dA=64,sec=L2]
fp128_dense	final=28:1;precommitted=	a46de3bb37f42fa48a71b95f2322aad4c4e9c8626b40c631cd6537cb251072a1	5636096	8388608	75220	7	6da57c51363cfb2a9027ca29303b4f258fbb1c377e53c879380fa3ac8e6c8bbc	L0[chunks=1@0,eor=0,in=268435456,out=55332544;witness=PACK,s=64,h=8,partial=64,quotient=64,src=canonical,dA=512,sec=Linf]/L1[chunks=1@0,eor=0,in=55332544,out=3892032;witness=PACK,s=64,h=1,partial=64,quotient=64,src=canonical,dA=64,sec=Linf]/L2[chunks=1@0,eor=0,in=3892032,out=1064256;witness=ET,s=-,h=-,partial=-,quotient=-,src=canonical,dA=64,sec=Linf]/L3[chunks=1@0,eor=0,in=1064256,out=488384;witness=ET,s=-,h=-,partial=-,quotient=-,src=canonical,dA=64,sec=L2]/L4[chunks=1@0,eor=0,in=488384,out=255488;witness=ET,s=-,h=-,partial=-,quotient=-,src=canonical,dA=64,sec=L2]/L5[chunks=1@0,eor=0,in=255488,out=128768;witness=ET,s=-,h=-,partial=-,quotient=-,src=canonical,dA=64,sec=L2]/T[method=ET,src=canonical,eor=0,input=128768,dA=64,sec=L2]
fp128_dense	final=30:1;precommitted=	0661c6ea7796b195873f4f0afc34e1f8ab8b773648907a24b0f5110247bb10d2	11272192	16777216	76084	7	6e66c15f8dd87c32d65c1fd7f9bf7781bfccebbc8f27e061014bc31ab6ef1b5a	L0[chunks=1@0,eor=0,in=1073741824,out=116218240;witness=PACK,s=128,h=4,partial=128,quotient=128,src=canonical,dA=512,sec=Linf]/L1[chunks=1@0,eor=0,in=116218240,out=7932032;witness=PACK,s=256,h=1,partial=256,quotient=256,src=canonical,dA=256,sec=Linf]/L2[chunks=1@0,eor=0,in=7932032,out=1576128;witness=ET,s=-,h=-,partial=-,quotient=-,src=canonical,dA=64,sec=Linf]/L3[chunks=1@0,eor=0,in=1576128,out=435712;witness=ET,s=-,h=-,partial=-,quotient=-,src=canonical,dA=64,sec=L2]/L4[chunks=1@0,eor=0,in=435712,out=247296;witness=ET,s=-,h=-,partial=-,quotient=-,src=canonical,dA=64,sec=L2]/L5[chunks=1@0,eor=0,in=247296,out=128768;witness=ET,s=-,h=-,partial=-,quotient=-,src=canonical,dA=64,sec=L2]/T[method=ET,src=canonical,eor=0,input=128768,dA=64,sec=L2]
